"","X","yearID","lgID","teamID","franchID","Rank","G","R","AB","H","HR"
"1200",1200,1951,"AL","NYA","NYY",1,154,798,5194,1395,140
"1201",1201,1951,"AL","CLE","CLE",2,155,696,5250,1346,140
"1202",1202,1951,"AL","BOS","BOS",3,154,804,5378,1428,127
"1203",1203,1951,"AL","CHA","CHW",4,155,714,5378,1453,86
"1204",1204,1951,"AL","DET","DET",5,154,685,5336,1413,104
"1205",1205,1951,"AL","PHA","OAK",6,154,736,5277,1381,102
"1206",1206,1951,"AL","WS1","MIN",7,154,672,5329,1399,54
"1207",1207,1951,"AL","SLA","BAL",8,154,611,5219,1288,86
"1208",1208,1951,"NL","NY1","SFG",1,157,781,5360,1396,179
"1209",1209,1951,"NL","BRO","LAD",2,158,855,5492,1511,184
"1210",1210,1951,"NL","SLN","STL",3,155,683,5317,1404,95
"1211",1211,1951,"NL","BSN","ATL",4,155,723,5293,1385,130
"1212",1212,1951,"NL","PHI","PHI",5,154,648,5332,1384,108
"1213",1213,1951,"NL","CIN","CIN",6,155,559,5285,1309,88
"1214",1214,1951,"NL","PIT","PIT",7,155,689,5318,1372,137
"1215",1215,1951,"NL","CHN","CHC",8,155,614,5307,1327,103
"1216",1216,1952,"AL","NYA","NYY",1,154,727,5294,1411,129
"1217",1217,1952,"AL","CLE","CLE",2,155,763,5330,1399,148
"1218",1218,1952,"AL","CHA","CHW",3,156,610,5316,1337,80
"1219",1219,1952,"AL","PHA","OAK",4,155,664,5163,1305,89
"1220",1220,1952,"AL","WS1","MIN",5,157,598,5357,1282,50
"1221",1221,1952,"AL","BOS","BOS",6,154,668,5246,1338,113
"1222",1222,1952,"AL","SLA","BAL",7,155,604,5353,1340,82
"1223",1223,1952,"AL","DET","DET",8,156,557,5258,1278,103
"1224",1224,1952,"NL","BRO","LAD",1,155,775,5266,1380,153
"1225",1225,1952,"NL","NY1","SFG",2,154,722,5229,1337,151
"1226",1226,1952,"NL","SLN","STL",3,154,677,5200,1386,97
"1227",1227,1952,"NL","PHI","PHI",4,154,657,5205,1353,93
"1228",1228,1952,"NL","CHN","CHC",5,155,628,5330,1408,107
"1229",1229,1952,"NL","CIN","CIN",6,154,615,5234,1303,104
"1230",1230,1952,"NL","BSN","ATL",7,155,569,5221,1214,110
"1231",1231,1952,"NL","PIT","PIT",8,155,515,5193,1201,92
"1232",1232,1953,"AL","NYA","NYY",1,151,801,5194,1420,139
"1233",1233,1953,"AL","CLE","CLE",2,155,770,5285,1426,160
"1234",1234,1953,"AL","CHA","CHW",3,156,716,5212,1345,74
"1235",1235,1953,"AL","BOS","BOS",4,153,656,5246,1385,101
"1236",1236,1953,"AL","WS1","MIN",5,152,687,5149,1354,69
"1237",1237,1953,"AL","DET","DET",6,158,695,5553,1479,108
"1238",1238,1953,"AL","PHA","OAK",7,157,632,5455,1398,116
"1239",1239,1953,"AL","SLA","BAL",8,154,555,5264,1310,112
"1240",1240,1953,"NL","BRO","LAD",1,155,955,5373,1529,208
"1241",1241,1953,"NL","ML1","ATL",2,157,738,5349,1422,156
"1242",1242,1953,"NL","PHI","PHI",3,156,716,5290,1400,115
"1243",1243,1953,"NL","SLN","STL",3,157,768,5397,1474,140
"1244",1244,1953,"NL","NY1","SFG",5,155,768,5362,1452,176
"1245",1245,1953,"NL","CIN","CIN",6,155,714,5343,1396,166
"1246",1246,1953,"NL","CHN","CHC",7,155,633,5272,1372,137
"1247",1247,1953,"NL","PIT","PIT",8,154,622,5253,1297,99
"1248",1248,1954,"AL","CLE","CLE",1,156,746,5222,1368,156
"1249",1249,1954,"AL","NYA","NYY",2,155,805,5226,1400,133
"1250",1250,1954,"AL","CHA","CHW",3,155,711,5168,1382,94
"1251",1251,1954,"AL","BOS","BOS",4,156,700,5399,1436,123
"1252",1252,1954,"AL","DET","DET",5,155,584,5233,1351,90
"1253",1253,1954,"AL","WS1","MIN",6,155,632,5249,1292,81
"1254",1254,1954,"AL","BAL","BAL",7,154,483,5206,1309,52
"1255",1255,1954,"AL","PHA","OAK",8,156,542,5206,1228,94
"1256",1256,1954,"NL","NY1","SFG",1,154,732,5245,1386,186
"1257",1257,1954,"NL","BRO","LAD",2,154,778,5251,1418,186
"1258",1258,1954,"NL","ML1","ATL",3,154,670,5261,1395,139
"1259",1259,1954,"NL","PHI","PHI",4,154,659,5184,1384,102
"1260",1260,1954,"NL","CIN","CIN",5,154,729,5234,1369,147
"1261",1261,1954,"NL","SLN","STL",6,154,799,5405,1518,119
"1262",1262,1954,"NL","CHN","CHC",7,154,700,5359,1412,159
"1263",1263,1954,"NL","PIT","PIT",8,154,557,5088,1260,76
"1264",1264,1955,"AL","NYA","NYY",1,154,762,5161,1342,175
"1265",1265,1955,"AL","CLE","CLE",2,154,698,5146,1325,148
"1266",1266,1955,"AL","CHA","CHW",3,155,725,5220,1401,116
"1267",1267,1955,"AL","BOS","BOS",4,154,755,5273,1392,137
"1268",1268,1955,"AL","DET","DET",5,154,775,5283,1407,130
"1269",1269,1955,"AL","KC1","OAK",6,155,638,5335,1395,121
"1270",1270,1955,"AL","BAL","BAL",7,156,540,5257,1263,54
"1271",1271,1955,"AL","WS1","MIN",8,154,598,5142,1277,80
"1272",1272,1955,"NL","BRO","LAD",1,154,857,5193,1406,201
"1273",1273,1955,"NL","ML1","ATL",2,154,743,5277,1377,182
"1274",1274,1955,"NL","NY1","SFG",3,154,702,5288,1377,169
"1275",1275,1955,"NL","PHI","PHI",4,154,675,5092,1300,132
"1276",1276,1955,"NL","CIN","CIN",5,154,761,5270,1424,181
"1277",1277,1955,"NL","CHN","CHC",6,154,626,5214,1287,164
"1278",1278,1955,"NL","SLN","STL",7,154,654,5266,1375,143
"1279",1279,1955,"NL","PIT","PIT",8,154,560,5173,1262,91
"1280",1280,1956,"AL","NYA","NYY",1,154,857,5312,1433,190
"1281",1281,1956,"AL","CLE","CLE",2,155,712,5148,1256,153
"1282",1282,1956,"AL","CHA","CHW",3,154,776,5286,1412,128
"1283",1283,1956,"AL","BOS","BOS",4,155,780,5349,1473,139
"1284",1284,1956,"AL","DET","DET",5,155,789,5364,1494,150
"1285",1285,1956,"AL","BAL","BAL",6,154,571,5090,1242,91
"1286",1286,1956,"AL","WS1","MIN",7,155,652,5202,1302,112
"1287",1287,1956,"AL","KC1","OAK",8,154,619,5256,1325,112
"1288",1288,1956,"NL","BRO","LAD",1,154,720,5098,1315,179
"1289",1289,1956,"NL","ML1","ATL",2,155,709,5207,1350,177
"1290",1290,1956,"NL","CIN","CIN",3,155,775,5291,1406,221
"1291",1291,1956,"NL","SLN","STL",4,156,678,5378,1443,124
"1292",1292,1956,"NL","PHI","PHI",5,154,668,5204,1313,121
"1293",1293,1956,"NL","NY1","SFG",6,154,540,5190,1268,145
"1294",1294,1956,"NL","PIT","PIT",7,157,588,5221,1340,110
"1295",1295,1956,"NL","CHN","CHC",8,157,597,5260,1281,142
"1296",1296,1957,"AL","NYA","NYY",1,154,723,5271,1412,145
"1297",1297,1957,"AL","CHA","CHW",2,155,707,5265,1369,106
"1298",1298,1957,"AL","BOS","BOS",3,154,721,5267,1380,153
"1299",1299,1957,"AL","DET","DET",4,154,614,5348,1376,116
"1300",1300,1957,"AL","BAL","BAL",5,154,597,5264,1326,87
"1301",1301,1957,"AL","CLE","CLE",6,153,682,5171,1304,140
"1302",1302,1957,"AL","KC1","OAK",7,154,563,5170,1262,166
"1303",1303,1957,"AL","WS1","MIN",8,154,603,5231,1274,111
"1304",1304,1957,"NL","ML1","ATL",1,155,772,5458,1469,199
"1305",1305,1957,"NL","SLN","STL",2,154,737,5472,1497,132
"1306",1306,1957,"NL","BRO","LAD",3,154,690,5242,1325,147
"1307",1307,1957,"NL","CIN","CIN",4,154,747,5389,1452,187
"1308",1308,1957,"NL","PHI","PHI",5,156,623,5241,1311,117
"1309",1309,1957,"NL","NY1","SFG",6,154,643,5346,1349,157
"1310",1310,1957,"NL","CHN","CHC",7,156,628,5369,1312,147
"1311",1311,1957,"NL","PIT","PIT",7,155,586,5402,1447,92
"1312",1312,1958,"AL","NYA","NYY",1,155,759,5294,1418,164
"1313",1313,1958,"AL","CHA","CHW",2,155,634,5249,1348,101
"1314",1314,1958,"AL","BOS","BOS",3,155,697,5218,1335,155
"1315",1315,1958,"AL","CLE","CLE",4,153,694,5201,1340,161
"1316",1316,1958,"AL","DET","DET",5,154,659,5194,1384,109
"1317",1317,1958,"AL","BAL","BAL",6,154,521,5111,1233,108
"1318",1318,1958,"AL","KC1","OAK",7,156,642,5261,1297,138
"1319",1319,1958,"AL","WS1","MIN",8,156,553,5156,1240,121
"1320",1320,1958,"NL","ML1","ATL",1,154,675,5225,1388,167
"1321",1321,1958,"NL","PIT","PIT",2,154,662,5247,1386,134
"1322",1322,1958,"NL","SFN","SFG",3,154,727,5318,1399,170
"1323",1323,1958,"NL","CIN","CIN",4,154,695,5273,1359,123
"1324",1324,1958,"NL","CHN","CHC",5,154,709,5289,1402,182
"1325",1325,1958,"NL","SLN","STL",5,154,619,5255,1371,111
"1326",1326,1958,"NL","LAN","LAD",7,154,668,5173,1297,172
"1327",1327,1958,"NL","PHI","PHI",8,154,664,5363,1424,124
"1328",1328,1959,"AL","CHA","CHW",1,156,669,5297,1325,97
"1329",1329,1959,"AL","CLE","CLE",2,154,745,5288,1390,167
"1330",1330,1959,"AL","NYA","NYY",3,155,687,5379,1397,153
"1331",1331,1959,"AL","DET","DET",4,154,713,5211,1346,160
"1332",1332,1959,"AL","BOS","BOS",5,154,726,5225,1335,125
"1333",1333,1959,"AL","BAL","BAL",6,155,551,5208,1240,109
"1334",1334,1959,"AL","KC1","OAK",7,154,681,5264,1383,117
"1335",1335,1959,"AL","WS1","MIN",8,154,619,5092,1205,163
"1336",1336,1959,"NL","LAN","LAD",1,156,705,5282,1360,148
"1337",1337,1959,"NL","ML1","ATL",2,157,724,5388,1426,177
"1338",1338,1959,"NL","SFN","SFG",3,154,705,5281,1377,167
"1339",1339,1959,"NL","PIT","PIT",4,155,651,5369,1414,112
"1340",1340,1959,"NL","CHN","CHC",5,155,673,5296,1321,163
"1341",1341,1959,"NL","CIN","CIN",5,154,764,5288,1448,161
"1342",1342,1959,"NL","SLN","STL",7,154,641,5317,1432,118
"1343",1343,1959,"NL","PHI","PHI",8,155,599,5109,1237,113
"1344",1344,1960,"AL","NYA","NYY",1,155,746,5290,1377,193
"1345",1345,1960,"AL","BAL","BAL",2,154,682,5170,1307,123
"1346",1346,1960,"AL","CHA","CHW",3,154,741,5191,1402,112
"1347",1347,1960,"AL","CLE","CLE",4,154,667,5296,1415,127
"1348",1348,1960,"AL","WS1","MIN",5,154,672,5248,1283,147
"1349",1349,1960,"AL","DET","DET",6,154,633,5202,1243,150
"1350",1350,1960,"AL","BOS","BOS",7,154,658,5215,1359,124
"1351",1351,1960,"AL","KC1","OAK",8,155,615,5226,1303,110
"1352",1352,1960,"NL","PIT","PIT",1,155,734,5406,1493,120
"1353",1353,1960,"NL","ML1","ATL",2,154,724,5263,1393,170
"1354",1354,1960,"NL","SLN","STL",3,155,639,5187,1317,138
"1355",1355,1960,"NL","LAN","LAD",4,154,662,5227,1333,126
"1356",1356,1960,"NL","SFN","SFG",5,156,671,5324,1357,130
"1357",1357,1960,"NL","CIN","CIN",6,154,640,5289,1324,140
"1358",1358,1960,"NL","CHN","CHC",7,156,634,5311,1293,119
"1359",1359,1960,"NL","PHI","PHI",8,154,546,5169,1235,99
"1360",1360,1961,"AL","NYA","NYY",1,163,827,5559,1461,240
"1361",1361,1961,"AL","DET","DET",2,163,841,5561,1481,180
"1362",1362,1961,"AL","BAL","BAL",3,163,691,5481,1393,149
"1363",1363,1961,"AL","CHA","CHW",4,163,765,5556,1475,138
"1364",1364,1961,"AL","CLE","CLE",5,161,737,5609,1493,150
"1365",1365,1961,"AL","BOS","BOS",6,163,729,5508,1401,112
"1366",1366,1961,"AL","MIN","MIN",7,161,707,5417,1353,167
"1367",1367,1961,"AL","LAA","ANA",8,162,744,5424,1331,189
